title,salary,experience,address,url,parsed_at,query
Учитель начальных классов,,Опыт 1-3 года,Москва,https://hh.ru/vacancy/129214716?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Специалист по проверке заданий ОГЭ/ЕГЭ,,Без опыта,Москва,https://hh.ru/vacancy/128747336?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Учитель начальных классов на домашнее обучение для ребенка 7 лет,"2 500 ₽ за час, на руки",Опыт 3-6 лет,Москва Крылатское,https://hh.ru/vacancy/129209145?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Репетитор начальных классов в удаленную школу,"до 119 200 ₽ за месяц, на руки",Опыт 1-3 года,Москва,https://hh.ru/vacancy/128776093?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Специалист по демонстрационным экзаменам,"140 000 – 180 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Москва Крестьянская застава,https://hh.ru/vacancy/129141999?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Ассистент класса,"от 103 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Москва Верхние Котлы,https://hh.ru/vacancy/129205640?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Учитель группы продленного дня,"75 000 – 100 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Новомосковский административный округ Бунинская аллея,https://hh.ru/vacancy/128943758?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Учитель музыки,"от 70 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Москва Аминьевская,https://hh.ru/vacancy/129198136?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Учитель истории и обществознания,,Опыт 1-3 года,"Москва, р-н Очаково-Матвеевское",https://hh.ru/vacancy/129206825?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Няня/педагог дошкольного образования,"от 180 000 ₽ за месяц, на руки",Опыт 3-6 лет,Москва Парк культуры,https://hh.ru/vacancy/129170504?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
