2026-01-05 07:43:48,833 | INFO | Starting parser...
2026-01-05 07:43:48,833 | INFO | Searching query: python developer
2026-01-05 07:43:49,782 | INFO | Browser starting...
2026-01-05 07:43:50,776 | INFO | Following link...
2026-01-05 07:44:03,098 | INFO | Entering a query...
2026-01-05 07:44:03,705 | INFO | Waiting for vacancies...
2026-01-05 07:44:12,539 | INFO | Closing browser...
2026-01-05 07:44:13,108 | INFO | Ending parser...
2026-01-05 08:30:54,002 | INFO | Starting parser...
2026-01-05 08:30:54,002 | INFO | Searching query: sales manager
2026-01-05 08:30:55,149 | INFO | Browser starting...
2026-01-05 08:30:56,266 | INFO | Following link...
2026-01-05 08:34:48,425 | INFO | Starting parser...
2026-01-05 08:34:48,425 | INFO | Searching query: sales manager
2026-01-05 08:34:49,711 | INFO | Browser starting...
2026-01-05 08:34:50,785 | INFO | Following link...
2026-01-05 08:35:03,077 | INFO | Entering a query...
2026-01-05 08:35:03,702 | INFO | Waiting for vacancies...
2026-01-05 08:35:09,195 | INFO | Starting scrolling: 10 times
2026-01-05 08:35:20,340 | INFO | Scrolling ended
2026-01-05 08:35:22,638 | INFO | Closing browser...
2026-01-05 08:35:23,288 | INFO | Ending parser...
2026-01-05 09:04:23,815 | INFO | Starting parser...
2026-01-05 09:04:23,815 | INFO | Searching query: cashier
2026-01-05 09:04:25,003 | INFO | Browser starting...
2026-01-05 09:04:26,227 | INFO | Following link...
2026-01-05 09:04:38,064 | INFO | Entering a query...
2026-01-05 09:04:38,742 | INFO | Page number 1
2026-01-05 09:04:41,664 | INFO | Starting scrolling: 10 times
2026-01-05 09:04:56,701 | INFO | Scrolling ended
2026-01-05 09:04:56,769 | INFO | Vacancies found: 50
2026-01-05 09:08:13,183 | INFO | Starting parser...
2026-01-05 09:08:13,183 | INFO | Searching query: cashier
2026-01-05 09:08:14,522 | INFO | Browser starting...
2026-01-05 09:08:15,590 | INFO | Following link...
2026-01-05 09:08:27,840 | INFO | Entering a query...
2026-01-05 09:08:28,466 | INFO | Page number 1
2026-01-05 09:08:35,472 | INFO | Starting scrolling: 10 times
2026-01-05 09:08:46,923 | INFO | Scrolling ended
2026-01-05 09:08:47,024 | INFO | Vacancies found: 50
2026-01-05 09:13:21,159 | INFO | Starting parser...
2026-01-05 09:13:21,159 | INFO | Searching query: cashier
2026-01-05 09:13:22,132 | INFO | Browser starting...
2026-01-05 09:13:23,077 | INFO | Following link...
2026-01-05 09:13:34,892 | INFO | Entering a query...
2026-01-05 09:13:35,429 | INFO | Page number 1
2026-01-05 09:13:37,792 | INFO | Starting scrolling: 10 times
2026-01-05 09:13:50,859 | INFO | Scrolling ended
2026-01-05 09:13:50,888 | INFO | Vacancies found: 50
2026-01-05 09:13:53,474 | INFO | Page number 2
2026-01-05 09:13:53,491 | INFO | Starting scrolling: 10 times
2026-01-05 09:14:05,505 | INFO | Scrolling ended
2026-01-05 09:14:05,536 | INFO | Vacancies found: 50
2026-01-05 09:14:08,554 | INFO | Page number 3
2026-01-05 09:14:08,571 | INFO | Starting scrolling: 10 times
2026-01-05 09:14:20,721 | INFO | Scrolling ended
2026-01-05 09:14:20,751 | INFO | Vacancies found: 50
2026-01-05 09:14:23,260 | INFO | Page number 4
2026-01-05 09:14:23,282 | INFO | Starting scrolling: 10 times
2026-01-05 09:14:35,005 | INFO | Scrolling ended
2026-01-05 09:14:35,040 | INFO | Vacancies found: 50
2026-01-05 09:14:37,621 | INFO | Page number 5
2026-01-05 09:14:37,649 | INFO | Starting scrolling: 10 times
2026-01-05 09:14:49,642 | INFO | Scrolling ended
2026-01-05 09:14:49,672 | INFO | Vacancies found: 50
2026-01-05 09:14:52,319 | INFO | Closing browser...
2026-01-05 09:14:53,172 | INFO | Ending parser...
